title,description,url,category
FA bars transgender women from women's football,Transgender women will no longer be able to play in women's football in England following a policy change from the Football Association.,https://www.bbc.com/sport/football/articles/cz01z4rdx4no,Sport
Europa League build-up: Man Utd and Spurs set for season-defining semi-finals,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/live/crkx5rlzz0pt,Sport
Why more than £100m rests on Man Utd winning Europa League,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/c789ezrv2kzo,Sport
James unsure of future after Lakers play-off loss,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/basketball/articles/czjnljyz7zvo,Sport
The Arctic Circle giant-killers out to upset Postecoglou again,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/cedy4xe2e32o,Sport
Into the Lions' den - spiritual San Mames awaits Man Utd,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/ce82l4ek442o,Sport
'A talent that comes along every 50 years' - 'genius' Yamal steals show,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/c1eg12y2qpdo,Sport
Five unsung heroes of Chelsea's WSL title success,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/c0l060rxgj5o,Sport
'Those muscles gone' - Haney & Garcia clash in New York,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/boxing/articles/cz6dzje991xo,Sport
How teenager George broke through Chelsea's £1bn squad,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/c3r83389eqno,Sport
Messi's Miami thrashed in Champions Cup semi-final,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/football/articles/c078r7ex21yo,Sport
Fan critical after falling from stand at MLB game,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/baseball/articles/c367d6zd7p7o,Sport
World Snooker Championship - live text,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/snooker/live/cx200xzgj8pt,Sport
England set to start key year with callow attack,England look set to begin a defining year with one of their most inexperienced pace attacks in the past two decades.,https://www.bbc.com/sport/cricket/articles/czrvz714m08o,Sport
