title,description,url,category
Arrest journalists at your own peril: US ambassador,We are really happy that Starlink is here and I think there is a lot more room for Starlink to grow,https://www.theindependent.co.zw/local-news/article/200041417/arrest-journalists-at-your-own-peril-us-ambassador,Politics
Short-term inflation spike fears mount,"This week, analysts warned that without tighter monetary discipline, the gap may widen further.",https://www.theindependent.co.zw/local-news/article/200041416/short-term-inflation-spike-fears-mount,Politics
Construction boom spurs Willdale,Our capex (capital expenditure) budget is about US$4 million and this is mainly to fund the new all-weather plant.,https://www.theindependent.co.zw/local-news/article/200041408/construction-boom-spurs-willdale,Politics
"Trevor Ncube spreads wings, launches new consultancy",Ncube emphasised that communication was not about a one-way flow or messaging.,https://www.theindependent.co.zw/local-news/article/200041404/trevor-ncube-spreads-wings-launches-new-consultancy,Politics
"US$200 million wiped off Zim mining industry... power cuts, slumping prices ravage first quarter",Kwesu urged authorities to prioritise Zimbabwe’s productive sectors — such as mining — in the distribution of available electricity.,https://www.theindependent.co.zw/local-news/article/200041164/us200-million-wiped-off-zim-mining-industry-power-cuts-slumping-prices-ravage-first-quarter,Politics
"US in dramatic policy, strategy shift","This shift marks a significant recalibration in Washington’s diplomatic engagement with Harare, according to US Ambassador to Zimbabwe Pamela Tremont.",https://www.theindependent.co.zw/local-news/article/200041163/us-in-dramatic-policy-strategy-shift,Politics
"‘Super-rich’ coalition fights Mnangagwa road dualisation... US$11m project threatens Highlands’ iconic Musasa trees, climate",The blueprint is driving Mnangagwa’s Vision 2030 ambition.,https://www.theindependent.co.zw/local-news/article/200041162/super-rich-coalition-fights-mnangagwa-road-dualisation-us11m-project-threatens-highlands-iconic-musasa-trees-climate,Politics
Ex-judge’s journey from bench to holding security to account,"You lead the constitutional body, which is composed of individuals drawn from various sectors with diverse professional backgrounds.",https://www.theindependent.co.zw/local-news/article/200041160/ex-judges-journey-from-bench-to-holding-security-to-account,Politics
"Govt clarifies US$1,9 billion Kuvimba deal","MIF chief executive John Mangudya said the bonds, with a 10-year tenure and a three-year grace period, were issued as a loan from Treasury.",https://www.theindependent.co.zw/local-news/article/200041161/govt-clarifies-us19-billion-kuvimba-deal,Politics
ZimRe targets Ivory Coast in fresh push for African deals,"ZHL chief operating officer, Chakanyuka Nziradzemhuka",https://www.theindependent.co.zw/local-news/article/200041153/zimre-targets-ivory-coast-in-fresh-push-for-african-deals,Politics
"Political gamble attracts mixed feelings... NTA proposal rebuked, embraced","The CCC has been ripped apart by divisions, which saw Chamisa leaving and new leaders taking charge.",https://www.theindependent.co.zw/local-news/article/200041116/political-gamble-attracts-mixed-feelings-nta-proposal-rebuked-embraced,Politics
Padenga's golden transformation powers record results,"Importantly, the company’s return metrics have skyrocketed: Return on equity increased to 33% (from 9,32%).",https://www.theindependent.co.zw/local-news/article/200040911/padengas-golden-transformation-powers-record-results,Politics
Bard Santner gears up for Seeff Zimbabwe Diaspora Property Showcase in Texas,The US event is part of its strategy to provide a platform and channel for Zimbabweans and US investors seeking to come into the country and region.,https://www.theindependent.co.zw/local-news/article/200040908/bard-santner-gears-up-for-seeff-zimbabwe-diaspora-property-showcase-in-texas,Politics
Mutapa makes US$56m move for CSC revival,"It said MIF funding would be deployed to settle debts, upgrade infrastructure, restock cattle ranches,  and revive operations.",https://www.theindependent.co.zw/local-news/article/200040895/mutapa-makes-us56m-move-for-csc-revival,Politics
Insurance regulator in firing line over billions...medical insurers condemn Ipec in pushback over new Bill,It blasted Ipec for “watching” as pension funds and insurance firms slipped into perpetual turmoil.,https://www.theindependent.co.zw/local-news/article/200040894/insurance-regulator-in-firing-line-over-billionsmedical-insurers-condemn-ipec-in-pushback-over-new-bill,Politics
Investors shun Zim’s US$ indexed stock exchange,ZSE chief executive officer Justin Bgoni said the Victoria Falls International Financial Centre (VFIFC) could help address the limitations of the current capital markets.,https://www.theindependent.co.zw/local-news/article/200040893/investors-shun-zims-us-indexed-stock-exchange,Politics
Contractors amenable to land deals with govt to settle debts,"In 2023, the Independent reported that government projects were under threat as contractors were contemplating pulling out due to unpaid dues.",https://www.theindependent.co.zw/local-news/article/200040892/contractors-amenable-to-land-deals-with-govt-to-settle-debts,Politics
Economists differ in opinion as fragile economy disentangles,The government faces an enormous challenge in reviving the economy and preventing total collapse.,https://www.theindependent.co.zw/local-news/article/200040890/economists-differ-in-opinion-as-fragile-economy-disentangles,Politics
Zim targets informal workers in new safety scheme,"The government provided grain to households in need, allocating 10kg per person per month.",https://www.theindependent.co.zw/local-news/article/200040891/zim-targets-informal-workers-in-new-safety-scheme,Politics
Medical insurers scour Africa as regulatory move sends tremors,"South Africa regulates medical schemes through the Council for Medical Schemes (CMS), a specialised statutory body reporting to the Department of Health.",https://www.theindependent.co.zw/local-news/article/200040889/medical-insurers-scour-africa-as-regulatory-move-sends-tremors,Politics
Belarus eyes tractor and bus assembly deal in boost to Zim ties,Mr Karankevich described the meeting as a major step forward in strengthening bilateral relations and expanding practical cooperation,https://www.theindependent.co.zw/local-news/article/200040884/belarus-eyes-tractor-and-bus-assembly-deal-in-boost-to-zim-ties,Politics
Stockbroking firms in eye of storm as Zim taps harder on the tax front,"Commissions account for 80% of revenue (volume-dependent), advisory (sponsoring broker) fees are growing with institutional demand.",https://www.theindependent.co.zw/local-news/article/200040877/stockbroking-firms-in-eye-of-storm-as-zim-taps-harder-on-the-tax-front,Politics
Zim diaspora could provide a path towards national renewal,It was a substantial portion of their gross domestic product (GDP).,https://www.theindependent.co.zw/local-news/article/200040647/zim-diaspora-could-provide-a-path-towards-national-renewal,Politics
Govt reviews cost of doing business  for IPPs,The oversubscribed conference was organised by The Standard in collaboration with the Energy and Power Development ministry.,https://www.theindependent.co.zw/local-news/article/200040645/govt-reviews-cost-of-doing-business-for-ipps,Politics
Collaborate to beneficiate lithium: Mines ministry,Mukodzani urged companies to submit their beneficiation plans as part of their licensing process.,https://www.theindependent.co.zw/local-news/article/200040643/collaborate-to-beneficiate-lithium-mines-ministry,Politics
Tender system overhaul meant to disarm corrupt looters: Praz CEO...more firewalls lined up to flash out shady deals,"We continue to encourage more businesses to register, fostering a competitive environment that benefits all stakeholders",https://www.theindependent.co.zw/local-news/article/200040644/tender-system-overhaul-meant-to-disarm-corrupt-looters-praz-ceomore-firewalls-lined-up-to-flash-out-shady-deals,Politics
