title,description,url,category
"The US.-China trade war: Market chaos, supply chain risks","China retaliated with 125% tariffs on American goods, effectively freezing bilateral trade.",https://www.thestandard.co.zw/business/article/200040994/the-us-china-trade-war-market-chaos-supply-chain-risks,Business
Old Mutual investments into  power projects yields 43MW,"Zimbabwe has 1 600MW to 1 800MW renewable energy generation potential from mostly solar, followed by wind, biogas, and small hydropower energy.",https://www.thestandard.co.zw/business/article/200040991/old-mutual-investments-into-power-projects-yields-43mw,Business
Marketing strategy and entrepreneurial competitiveness,One way for the pan-African entrepreneurs to construct a marketing strategy is to put into action the following marketing strategic conceptual steps:,https://www.thestandard.co.zw/business/article/200040993/marketing-strategy-and-entrepreneurial-competitiveness,Business
The Highs and Lows of Prateek Suri: How Prateek Suri Became Richest Indian in Africa,But perhaps his greatest asset is his vision. Unlike others who extract and expor,https://www.thestandard.co.zw/business/article/200040747/the-highs-and-lows-of-prateek-suri-how-prateek-suri-became-richest-indian-in-africa,Business
Zimbabwe gets huge UNDP boost for renewable energy,"Rodriguez said given the region’s climate, countries such as Zimbabwe offered enormous potential for investments in renewable energy in addition to its demand for energy solutions.",https://www.thestandard.co.zw/business/article/200040724/zimbabwe-gets-huge-undp-boost-for-renewable-energy,Business
Zimbabwe mulls ‘green’ bond to drive energy projects,The issue of funding constraints was topical at the conference and the creation of the special bond was included in the resolutions.,https://www.thestandard.co.zw/business/article/200040725/zimbabwe-mulls-green-bond-to-drive-energy-projects,Business
Gloomy anniversary : US  dollar suffocates the ZiG,The ZiG is being used to settle mostly minor transactions including utility and tax payments and a portion of civil servant wages.,https://www.thestandard.co.zw/business/article/200040440/gloomy-anniversary-us-dollar-suffocates-the-zig,Business
"Over taxation a threat to Zim’s telecoms industry, says deputy minister","He told Standardbusiness that government had made progress in fostering a competitive environment, but over taxation had detrimental effects on the sector’s sustainability.",https://www.thestandard.co.zw/business/article/200040441/over-taxation-a-threat-to-zims-telecoms-industry-says-deputy-minister,Business
Zida decries low capital inflows,He acknowledged that a significant barrier to attracting investment was Zimbabwe’s negative perception.,https://www.thestandard.co.zw/business/article/200040187/zida-decries-low-capital-inflows,Business
"Commodity trade experts urge government, farmers to collaborate",Food Crop Contractors Association chairperson Graeme Murdoc said an opportunity for the two sides to find each other  needed to be created.,https://www.thestandard.co.zw/business/article/200040188/commodity-trade-experts-urge-government-farmers-to-collaborate,Business
