title,url,description,category
BCC courts private land developers,https://dailynews.co.zw/bcc-courts-private-land-developers/,BULAWAYO City Council (BCC) is seeking private investors and developers to partner in large-scale housing projects to address the city’s growing housing… 		,Politics
Farmers urged to embrace insurance,https://dailynews.co.zw/farmers-urged-to-embrace-insurance/,THE Insurance Council of Zimbabwe (ICZ) is intensifying its awareness campaigns on agricultural insurance to ensure farmers are insured and recover from… 		,Politics
"Gutu East, Insiza North by-elections date set",https://dailynews.co.zw/gutu-east-insiza-north-by-elections-date-set/,PRESIDENT Emmerson Mnangagwa has proclaimed June 14 as the date for parliamentary by-elections in Gutu and Insiza North constituencies.The by-elections were occasioned… 		,Politics
Zim risks losing out on carbon credits,https://dailynews.co.zw/zim-risks-losing-out-on-carbon-credits/,ZIMBABWE risks missing out on global carbon credit market opportunities due to public ignorance and limited efforts to demystify climate change and… 		,Politics
Ema sounds alarm on wetlands destruction,https://dailynews.co.zw/ema-sounds-alarm-on-wetlands-destruction/,"THE Environmental Management Agency (Ema) has expressed deep concern over the rampant construction of buildings on wetlands, warning that this trend is… 		",Politics
Granny duped US$2k by ‘fake’ agent,https://dailynews.co.zw/granny-duped-us2k-by-fake-agent/,"A 65-YEAR-OLD woman was allegedly duped of US$2 000 by a suspected bogus travel agent, Samantha Chiedza Gumbo, who operates a travel… 		",Politics
Zvimba RDC employee loses promotion bid,https://dailynews.co.zw/zvimba-rdc-employee-loses-promotion-bid/,A ZVIMBA Rural District Council (RDC) employee who sought a High Court relief to confirm his right to be upgraded to grade… 		,Politics
Man loses R300k in suspected forex fraud,https://dailynews.co.zw/man-loses-r300k-in-suspected-forex-fraud/,"A HARARE man lost R300 000 to a suspected fraudster, Learnmore Jonga, who promised to exchange the amount for US$16 000 but,… 		",Politics
Zimbabweans top SA illegal entry attempts,https://dailynews.co.zw/zimbabweans-top-sa-illegal-entry-attempts/,ZIMBABWEANS have been identified as the leading individuals attempting to illegally gain entry into South Africa. This was revealed in the 2025…,Politics
Fake jobs fraudster convicted,https://dailynews.co.zw/fake-jobs-fraudster-convicted/,"A 23-YEAR-OLD man from Bulawayo who allegedly deceived several individuals by falsely claiming he could secure jobs for them, collecting various amounts… 		",Politics
